INPUT,EVAL
"['A', 'ship', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['Mary', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'ship', 'ate', 'a', 'burrito', 'last', 'night']",True
"['Mary', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'book', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'book', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'book', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['Mary', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'ship', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'ship', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['Mary', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'ship', 'ate', 'a', 'burrito', 'last', 'night']",True
"['A', 'dog', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['Mary', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'ate', 'a', 'burrito', 'last', 'night']",True
"['John', 'threw', 'up', 'on', 'the', 'floor']",True
"['Mary', 'threw', 'up', 'on', 'the', 'floor']",False
